Country,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region,Lat,Long
Philippines,Asia,109722719,119460,,2150,,66837,,50473,239,1089,20,1669996,15220,WesternPacific,12.879721,121.774017
Poland,Europe,37842302,49515,,1774,,35642,,12099,72,1308,47,2374686,62752,Europe,12.879721,121.774017
Portugal,Europe,10193593,52061,,1743,,37840,,12478,42,5107,171,1705474,167308,Europe,51.919438,19.145136
Qatar,Asia,2807805,112092,,178,,108831,,3083,77,39922,63,511000,181993,EasternMediterranean,39.399872,-8.224454
Romania,Europe,19224023,57895,,2566,,28992,,26337,458,3012,133,1319369,68631,Europe,45.943161,24.96676
Russia,Europe,145940924,871894,,14606,,676357,,180931,2300,5974,100,29716907,203623,Europe,61.52401,105.318756
Rwanda,Africa,12981546,2111,,5,,1258,,848,,163,0.4,286251,22051,Africa,-1.940278,29.873888
S. Korea,Asia,51273732,14519,20,303,1,13543,42,673,18,283,6,1613652,31471,WesternPacific,35.907757,127.766922
Saint Kitts and Nevis,North America,53237,17,,,,16,,1,,319,,1146,21526,Americas,17.357822,-62.782998
Saint Lucia,North America,183712,25,,,,24,,1,,136,,3895,21202,Americas,13.909444,-60.978893
San Marino,Europe,33938,699,,42,,657,,0,,20596,1238,6068,178797,Europe,43.94236,12.457777
Sao Tome and Principe,Africa,219544,878,,15,,797,,66,,3999,68,3079,14025,Africa,0.18636,6.613081
Saudi Arabia,Asia,34865919,284226,,3055,,247089,,34082,1915,8152,88,3635705,104277,EasternMediterranean,23.885942,45.079162
Senegal,Africa,16783877,10715,,223,,7101,,3391,33,638,13,114761,6838,Africa,14.497401,-14.452362
Serbia,Europe,8733665,27332,,621,,14047,,12664,120,3129,71,723137,82799,Europe,44.016521,21.005859
Seychelles,Africa,98408,126,,,,124,,2,,1280,,,,Africa,-4.679574,55.491977
Sierra Leone,Africa,7992169,1877,,67,,1427,,383,,235,8,,,Africa,8.460555,-11.779889
Singapore,Asia,5854932,54555,,27,,48031,,6497,,9318,5,1474372,251817,WesternPacific,1.352083,103.819836
Slovakia,Europe,5459915,2480,,29,,1824,,627,2,454,5,272322,49877,Europe,48.669026,19.699024
Slovenia,Europe,2078968,2223,,125,,1909,,189,2,1069,60,135702,65274,Europe,46.151241,14.995463
Somalia,Africa,15933012,3227,,93,,1728,,1406,2,203,6,,,EasternMediterranean,5.152149,46.199616
South Africa,Africa,59381566,538184,,9604,,387316,,141264,539,9063,162,3149807,53044,Africa,-30.559482,22.937506
Spain,Europe,46756648,354530,,28500,,,,,617,7582,610,7064329,151087,Europe,40.463667,-3.74922
Sri Lanka,Asia,21422362,2839,,11,,2541,,287,1,133,0.5,166737,7783,South-EastAsia,7.873054,80.771797
St. Vincent Grenadines,North America,110976,56,,,,46,,10,,505,,2447,22050,,12.984305,-61.287228
Sudan,Africa,43943536,11780,,763,,6194,,4823,,268,17,401,9,EasternMediterranean,12.862807,30.217636
Suriname,South America,587154,2096,,29,,1446,,621,9,3570,49,2785,4743,Americas,3.919305,-56.027783
Sweden,Europe,10105596,81967,,5766,,,,,38,8111,571,863315,85429,Europe,60.128161,18.643501
Switzerland,Europe,8660952,36108,,1985,,31600,,2523,23,4169,229,822764,94997,Europe,46.818188,8.227512
Syria,Asia,17539600,999,,48,,311,,640,,57,3,,,EasternMediterranean,34.802075,38.996815
Taiwan,Asia,23821199,477,,7,,443,,27,,20,0.3,82737,3473,WesternPacific,23.69781,120.960515
Tajikistan,Asia,9557468,7665,,62,,6443,,1160,,802,6,,,Europe,38.861034,71.276093
Tanzania,Africa,59886383,509,,21,,183,,305,7,8,0.4,,,Africa,-6.369028,34.888822
Thailand,Asia,69817894,3330,,58,,3148,,124,1,48,0.8,749213,10731,South-EastAsia,15.870032,100.992541
Timor-Leste,Asia,1320812,25,,,,24,,1,,19,,4238,3209,South-EastAsia,-8.874217,125.727539
Togo,Africa,8296582,1012,,22,,697,,293,2,122,3,45767,5516,Africa,8.619543,0.824782
Trinidad and Tobago,North America,1399950,210,,8,,135,,67,,150,6,9559,6828,Americas,10.691803,-61.222503
Tunisia,Africa,11830801,1642,,51,,1241,,350,9,139,4,100298,8478,EasternMediterranean,33.886917,9.537499
Turkey,Asia,84428331,237265,,5798,,220546,,10921,580,2810,69,5081802,60191,Europe,38.963745,35.243322
UAE,Asia,9902079,61845,,354,,55739,,5752,,6246,36,5262658,531470,EasternMediterranean,25.276987,55.296249
